group,n_files,label,p_real,p_fake_any,p_deepfakes,p_fake,p_real
id0,10,FAKE,0.35816210210323335,0.6418378978967667,0.29947032034397125,0.3423675775527954,0.35816210210323335
id10,10,FAKE,0.384343808889389,0.6156561911106109,0.28668989837169645,0.3289662927389145,0.384343808889389
id11,11,FAKE,0.3846345706419511,0.615365432067351,0.2860647169026462,0.32930071516470477,0.3846345706419511
id12,7,FAKE,0.38894619260515484,0.6110537988798959,0.2836797194821494,0.3273740793977465,0.38894619260515484
id13,16,FAKE,0.3890389185398817,0.6109610926359892,0.28374219685792923,0.32721889577805996,0.3890389185398817
id16,14,FAKE,0.34925334794180735,0.650746647800718,0.30432434167180744,0.3464223061289106,0.34925334794180735
id17,10,FAKE,0.350303053855896,0.6496969670057297,0.303389236330986,0.34630773067474363,0.350303053855896
id1,10,FAKE,0.34004656672477723,0.6599534124135971,0.30886180996894835,0.35109160244464876,0.34004656672477723
id2,10,FAKE,0.3434219747781754,0.656578004360199,0.30686872601509096,0.349709278345108,0.3434219747781754
id3,10,FAKE,0.34345853328704834,0.6565414726734161,0.3070652514696121,0.349476221203804,0.34345853328704834
id4,10,FAKE,0.34858973920345304,0.651410272717476,0.3048196524381638,0.34659062027931214,0.34858973920345304
id6,10,FAKE,0.34351527988910674,0.6564847230911255,0.3068640887737274,0.3496206343173981,0.34351527988910674
id7,10,FAKE,0.38280320465564727,0.6171968132257462,0.2869124263525009,0.33028438687324524,0.38280320465564727
id8,10,FAKE,0.3817310303449631,0.6182689636945724,0.28737822771072385,0.33089073598384855,0.3817310303449631
id9,10,FAKE,0.3552318274974823,0.6447681844234466,0.3008726269006729,0.34389555752277373,0.3552318274974823
